log_id,department,user_hash,prompt_text,model,input_tokens,output_tokens,total_tokens,cost,created_at
1,인사팀,user_b05_hr_06,HR 리더십 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘,gpt-4o,1352,417,1769,3.13,2026-04-15 11:45:00
2,인사팀,user_b05_hr_07,계약 성공률 지표를 기준으로 다음 달 예상 리스크를 설명해줘,gpt-4o-mini,726,718,1444,0.71,2026-04-14 10:33:00
3,영업팀,user_b05_sales_07,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4o-mini,1329,597,1926,0.77,2026-05-09 10:03:00
4,영업팀,user_b05_sales_01,분류 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘,gpt-4o-mini,1103,1004,2107,1.01,2026-06-22 09:38:00
5,인사팀,user_b05_hr_06,기능 사용률 지표를 기준으로 다음 달 예상 리스크를 설명해줘,gpt-4o-mini,966,930,1896,0.92,2026-01-17 12:02:00
6,고객지원팀,user_b05_cs_03,파일럿 고객에게 보낼 후속 안내 메일을 작성해줘 테스트 이메일 sample.notice@example.invalid 기준으로 작성해줘,gpt-4o-mini,585,645,1230,0.62,2026-07-01 15:44:00
7,영업팀,user_b05_sales_03,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘 샘플 고객명과 고객 불만 내용을 포함해줘",gpt-4o-mini,1080,779,1859,0.84,2026-06-18 12:57:00
8,인사팀,user_b05_hr_19,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,785,759,1544,0.75,2026-06-08 13:03:00
9,마케팅팀,user_b05_mkt_17,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘 참고용 가짜 이메일 demo.user@example.invalid, 연락처 010-0000-0000, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 모두 포함해줘",gpt-4o,701,399,1100,2.27,2026-08-26 13:02:00
10,마케팅팀,user_b05_mkt_14,테스트용으로 사용량 통계 모듈의 단위 테스트 코드를 만들어줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o,1048,977,2025,4.74,2026-08-11 16:23:00
11,영업팀,user_b05_sales_15,응답 시간 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘,gpt-4o-mini,504,699,1203,0.64,2026-07-03 17:12:00
12,고객지원팀,user_b05_cs_05,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘,gpt-4.1-mini,536,583,1119,0.72,2026-09-08 17:02:00
13,개발팀,user_b05_dev_03,다음 달 마스킹 모듈 성과를 임원 보고용 보고서 형식으로 정리해줘,gpt-4o,831,931,1762,4.31,2026-01-17 11:24:00
14,재무/기획팀,user_b05_finplan_17,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,712,601,1313,0.62,2026-07-07 11:54:00
15,개발팀,user_b05_dev_18,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o,1008,482,1490,2.94,2026-04-30 13:54:00
16,마케팅팀,user_b05_mkt_26,최근 4주 고객 세그먼트 성과를 주간 회의용 보고용 보고서 형식으로 정리해줘,gpt-4.1-mini,411,992,1403,1.06,2026-06-25 16:55:00
17,마케팅팀,user_b05_mkt_22,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4.1-mini,847,800,1647,1.02,2026-06-10 13:34:00
18,고객지원팀,user_b05_cs_17,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 샘플 문의 연락처 010-1234-0000을 포함해줘,gpt-4o,1384,636,2020,3.94,2026-05-31 14:02:00
19,개발팀,user_b05_dev_30,대시보드 API 관련 긴 문서를 임원 보고용으로 3문단 요약해줘,gpt-4o,1267,450,1717,3.14,2026-07-24 14:18:00
20,인사팀,user_b05_hr_25,온보딩 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘,gpt-4o-mini,1251,490,1741,0.67,2026-06-02 17:00:00
21,고객지원팀,user_b05_cs_02,이번 주 FAQ 구조 성과를 팀장 보고용 보고서 형식으로 정리해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,626,886,1512,0.8,2026-03-18 10:56:00
