log_id,department,user_hash,prompt_text,model,input_tokens,output_tokens,total_tokens,cost,created_at
1,마케팅팀,user_mkt_06,전환율 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘,gpt-4o-mini,706,1076,1782,26.55,2026-05-04 10:24:00
2,마케팅팀,user_mkt_12,광고 클릭률 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o-mini,303,1049,1352,21.26,2026-05-22 10:38:00
3,마케팅팀,user_mkt_04,클릭률 지표를 기준으로 다음 달 예상 리스크를 설명해줘,gpt-4o,449,790,1239,85.53,2026-05-24 17:34:00
4,마케팅팀,user_mkt_11,상반기 업무 내용을 경영진 보고용으로 간결하게 정리해줘,gpt-4o-mini,484,662,1146,16.93,2026-05-11 10:18:00
5,마케팅팀,user_mkt_03,시장 조사 문서에서 위험 조항과 확인 필요 항목만 추려줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4.1-mini,1076,540,1616,25.65,2026-05-22 16:35:00
6,마케팅팀,user_mkt_09,최근 4주 업무 내용을 경영진 보고용으로 간결하게 정리해줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4o-mini,615,661,1276,18.48,2026-05-08 13:42:00
7,마케팅팀,user_mkt_08,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4o-mini,934,674,1608,22.53,2026-05-26 17:06:00
8,마케팅팀,user_mkt_01,이번 주 업무 내용을 경영진 보고용으로 간결하게 정리해줘,gpt-4o-mini,401,960,1361,20.94,2026-05-19 17:03:00
9,마케팅팀,user_mkt_08,SNS 도달률 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000이 노출된 상황도 고려해줘,gpt-4o-mini,555,898,1453,21.75,2026-05-11 10:00:00
10,마케팅팀,user_mkt_06,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4o-mini,737,635,1372,19.51,2026-05-07 13:32:00
11,마케팅팀,user_mkt_01,정책 문서의 핵심 내용을 5개 bullet로 요약해줘,gpt-4o-mini,503,755,1258,18.72,2026-05-12 12:43:00
12,마케팅팀,user_mkt_11,2분기 캠페인 성과를 팀장 보고용 보고서 형식으로 정리해줘,gpt-4o,421,762,1183,81.83,2026-05-07 15:21:00
13,마케팅팀,user_mkt_09,2분기 광고 집행 성과를 팀장 보고용 보고서 형식으로 정리해줘,gpt-4.1-mini,570,854,1424,24.72,2026-05-22 12:23:00
14,마케팅팀,user_mkt_08,시장 트렌드 관련 긴 문서를 임원 보고용으로 3문단 요약해줘,gpt-4o-mini,654,456,1110,15.51,2026-05-22 12:32:00
15,마케팅팀,user_mkt_02,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘",gpt-4o-mini,913,696,1609,22.65,2026-05-25 15:14:00
16,마케팅팀,user_mkt_06,상반기 업무 내용을 경영진 보고용으로 간결하게 정리해줘,gpt-4o-mini,366,728,1094,16.62,2026-05-11 17:05:00
17,마케팅팀,user_mkt_08,"여름 프로모션 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘",gpt-4.1-mini,435,504,939,15.97,2026-05-08 13:27:00
18,마케팅팀,user_mkt_05,회의록에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,763,348,1111,15.0,2026-05-03 16:01:00
19,마케팅팀,user_mkt_05,전환율 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘,gpt-4.1-mini,552,670,1222,20.86,2026-05-04 09:59:00
20,마케팅팀,user_mkt_05,영업팀에게 공유할 시장 트렌드 결과 보고서를 1페이지 분량으로 작성해줘,gpt-4o-mini,357,411,768,11.19,2026-05-20 17:49:00
21,마케팅팀,user_mkt_04,시장 조사 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4.1-mini,756,575,1331,21.85,2026-05-03 12:46:00
22,마케팅팀,user_mkt_02,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4o-mini,839,610,1449,20.32,2026-05-24 17:48:00
23,마케팅팀,user_mkt_08,이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘,gpt-4o-mini,848,617,1465,20.54,2026-05-15 14:11:00
24,마케팅팀,user_mkt_12,브랜드 리뉴얼에 사용할 간단한 공지 문구를 작성해줘,gpt-4o-mini,187,340,527,7.96,2026-05-04 12:40:00
25,마케팅팀,user_mkt_11,이번 달 광고 집행 성과를 팀장 보고용 보고서 형식으로 정리해줘,gpt-4o,286,946,1232,88.57,2026-05-05 13:52:00
26,마케팅팀,user_mkt_11,이번 달 SNS 콘텐츠 성과를 팀장 보고용 보고서 형식으로 정리해줘,gpt-4o-mini,693,646,1339,19.17,2026-05-09 09:48:00
27,마케팅팀,user_mkt_06,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘,gpt-4o-mini,440,796,1236,18.65,2026-05-04 15:55:00
28,마케팅팀,user_mkt_08,시장 조사 문서의 핵심 내용을 5개 bullet로 요약해줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4o-mini,1303,753,2056,28.29,2026-05-04 11:31:00
29,마케팅팀,user_mkt_08,API Gateway 용어의 의미와 예시를 간단히 정리해줘,gpt-4o-mini,137,238,375,5.64,2026-05-18 16:22:00
30,마케팅팀,user_mkt_12,상반기 업무 내용을 경영진 보고용으로 간결하게 정리해줘,gpt-4o-mini,288,819,1107,17.22,2026-05-05 15:55:00
31,마케팅팀,user_mkt_06,이번 주 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘,gpt-4o-mini,542,451,993,14.08,2026-05-26 09:18:00
32,마케팅팀,user_mkt_05,회의록에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,1226,447,1673,22.22,2026-05-21 15:44:00
33,마케팅팀,user_mkt_11,"광고 클릭률 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4.1-mini,472,604,1076,18.45,2026-05-04 09:19:00
34,마케팅팀,user_mkt_06,샘플고객B 고객의 결제 오류 문의에 대해 정중한 답변을 작성해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o,492,233,725,45.0,2026-05-03 15:00:00
35,마케팅팀,user_mkt_12,상반기 광고 집행 성과를 팀장 보고용 보고서 형식으로 정리해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o,691,990,1681,114.23,2026-05-23 17:26:00
36,마케팅팀,user_mkt_04,상반기 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4.1-mini,684,741,1425,24.1,2026-05-05 12:04:00
37,마케팅팀,user_mkt_02,샘플고객B에게 보낼 후속 안내 메일을 작성해줘,gpt-4o-mini,271,544,815,12.39,2026-05-16 16:49:00
38,마케팅팀,user_mkt_10,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4.1-mini,618,530,1148,19.04,2026-05-17 13:29:00
39,마케팅팀,user_mkt_09,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 참고용 가짜 연락처: 010-0000-0000,gpt-4o-mini,1098,664,1762,24.33,2026-05-02 17:35:00
40,마케팅팀,user_mkt_01,상반기 SNS 콘텐츠 성과를 팀장 보고용 보고서 형식으로 정리해줘,gpt-4.1-mini,289,690,979,17.57,2026-05-20 13:01:00
41,마케팅팀,user_mkt_01,전환율 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o,458,1086,1544,108.81,2026-05-22 10:17:00
42,마케팅팀,user_mkt_08,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4.1-mini,739,614,1353,22.38,2026-05-24 15:11:00
43,마케팅팀,user_mkt_04,이번 달 업무 내용을 경영진 보고용으로 간결하게 정리해줘,gpt-4o,517,1022,1539,107.13,2026-05-14 15:33:00
44,마케팅팀,user_mkt_10,SNS 도달률 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4.1-mini,275,899,1174,21.47,2026-05-15 14:55:00
45,마케팅팀,user_mkt_12,여름 프로모션에 사용할 간단한 공지 문구를 작성해줘,gpt-4o-mini,125,319,444,6.86,2026-05-02 16:58:00
46,마케팅팀,user_mkt_02,배송/결제 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘,gpt-4.1-mini,285,489,774,13.57,2026-05-18 15:18:00
47,마케팅팀,user_mkt_03,이번 달 업무 내용을 경영진 보고용으로 간결하게 정리해줘,gpt-4o-mini,385,739,1124,17.04,2026-05-05 10:18:00
48,마케팅팀,user_mkt_04,샘플고객B 고객의 결제 오류 문의에 대해 정중한 답변을 작성해줘,gpt-4.1,330,300,630,48.75,2026-05-12 16:29:00
